START_TIME;elix;domestic;constant;Source
23/05/2013 11:30;72.13;0.55;1.0;70.33
23/05/2013 12:00;72.13;0.49;1.0;70.33
23/05/2013 12:30;72.13;0.49;1.0;70.33
23/05/2013 13:00;72.13;0.55;1.0;70.33
23/05/2013 13:30;72.13;0.55;1.0;70.33
23/05/2013 14:00;55.72;0.73;1.0;70.33
23/05/2013 14:30;72.13;0.73;1.0;70.33
23/05/2013 15:00;72.13;1.02;1.0;70.33
23/05/2013 15:30;72.13;1.02;1.0;70.33
23/05/2013 16:00;72.13;1.36;1.0;70.33
23/05/2013 16:30;78.22;1.36;1.0;70.33
23/05/2013 17:00;102.9;1.53;1.0;70.29
23/05/2013 17:30;98.72;1.53;1.0;70.29
23/05/2013 18:00;92.0;1.53;1.0;70.29
23/05/2013 18:30;81.6;1.53;1.0;70.29
23/05/2013 19:00;72.13;1.36;1.0;70.33
23/05/2013 19:30;72.13;1.36;1.0;70.33
23/05/2013 20:00;55.72;1.1;1.0;70.42
23/05/2013 20:30;55.72;1.1;1.0;70.42
23/05/2013 21:00;55.72;0.91;1.0;70.42
23/05/2013 21:30;55.72;0.91;1.0;70.42
23/05/2013 22:00;55.72;0.76;1.0;70.37
23/05/2013 22:30;55.72;0.76;1.0;70.37
23/05/2013 23:00;53.85;0.67;1.0;69.64
23/05/2013 23:30;49.59;0.67;1.0;69.64
24/05/2013 00:00;49.59;0.62;1.0;69.68
24/05/2013 00:30;49.59;0.62;1.0;69.68
24/05/2013 01:00;49.59;0.62;1.0;69.68
24/05/2013 01:30;49.59;0.62;1.0;69.68
24/05/2013 02:00;42.5;0.67;1.0;70.42
24/05/2013 02:30;49.59;0.67;1.0;70.42
24/05/2013 03:00;49.59;0.76;1.0;70.37
24/05/2013 03:30;49.59;0.76;1.0;70.37
24/05/2013 04:00;42.5;0.91;1.0;70.33
24/05/2013 04:30;42.5;0.91;1.0;70.33
24/05/2013 05:00;49.59;1.1;1.0;70.33
24/05/2013 05:30;49.59;1.1;1.0;70.33
24/05/2013 06:00;34.86;1.48;1.0;70.33
24/05/2013 06:30;34.86;1.48;1.0;70.33
24/05/2013 07:00;49.82;1.71;1.0;70.33
24/05/2013 07:30;65.64;1.71;1.0;70.33
24/05/2013 08:00;76.68;1.48;1.0;69.55
24/05/2013 08:30;83.96;1.48;1.0;69.55
24/05/2013 09:00;76.53;1.02;1.0;69.42
24/05/2013 09:30;79.84;1.02;1.0;69.42
24/05/2013 10:00;83.88;0.73;1.0;69.42
24/05/2013 10:30;83.96;0.73;1.0;69.42
24/05/2013 11:00;83.51;0.55;1.0;70.33
24/05/2013 11:30;67.22;0.55;1.0;70.33
24/05/2013 12:00;69.41;0.49;1.0;70.33
24/05/2013 12:30;78.34;0.49;1.0;70.33
24/05/2013 13:00;80.25;0.55;1.0;70.33
24/05/2013 13:30;65.64;0.55;1.0;70.33
24/05/2013 14:00;65.64;0.73;1.0;70.33
24/05/2013 14:30;75.02;0.73;1.0;70.33
24/05/2013 15:00;65.64;1.02;1.0;70.33
24/05/2013 15:30;69.9;1.02;1.0;70.33
24/05/2013 16:00;83.96;1.36;1.0;70.33
24/05/2013 16:30;83.96;1.36;1.0;70.33
24/05/2013 17:00;83.96;1.53;1.0;70.29
24/05/2013 17:30;83.96;1.53;1.0;70.29
24/05/2013 18:00;83.96;1.53;1.0;70.29
24/05/2013 18:30;74.02;1.53;1.0;70.29
24/05/2013 19:00;83.96;1.36;1.0;70.33
24/05/2013 19:30;77.93;1.36;1.0;70.33
24/05/2013 20:00;75.69;1.1;1.0;70.42
24/05/2013 20:30;75.73;1.1;1.0;70.42
24/05/2013 21:00;81.58;0.91;1.0;70.42
24/05/2013 21:30;77.17;0.91;1.0;70.42
24/05/2013 22:00;67.59;0.76;1.0;70.37
24/05/2013 22:30;83.96;0.76;1.0;70.37
24/05/2013 23:00;85.98;0.67;1.0;69.64
24/05/2013 23:30;73.57;0.67;1.0;69.64
25/05/2013 00:00;65.4;0.62;1.0;69.68
25/05/2013 00:30;64.92;0.62;1.0;69.68
25/05/2013 01:00;58.84;0.62;1.0;69.68
25/05/2013 01:30;51.29;0.62;1.0;69.68
25/05/2013 02:00;48.35;0.67;1.0;70.42
25/05/2013 02:30;48.35;0.67;1.0;70.42
25/05/2013 03:00;50.27;0.76;1.0;70.37
25/05/2013 03:30;50.27;0.76;1.0;70.37
25/05/2013 04:00;50.27;0.91;1.0;70.33
25/05/2013 04:30;50.27;0.91;1.0;70.33
25/05/2013 05:00;48.35;1.1;1.0;70.33
25/05/2013 05:30;48.35;1.1;1.0;70.33
25/05/2013 06:00;34.69;1.48;1.0;70.33
25/05/2013 06:30;34.69;1.48;1.0;70.33
25/05/2013 07:00;49.17;1.71;1.0;70.33
25/05/2013 07:30;49.56;1.71;1.0;70.33
25/05/2013 08:00;49.56;1.48;1.0;69.55
25/05/2013 08:30;49.56;1.48;1.0;69.55
25/05/2013 09:00;49.56;1.02;1.0;69.42
25/05/2013 09:30;211.54;1.02;1.0;69.42
25/05/2013 10:00;211.54;0.73;1.0;69.42
25/05/2013 10:30;211.54;0.73;1.0;69.42
25/05/2013 11:00;211.54;0.55;1.0;70.33
25/05/2013 11:30;49.56;0.55;1.0;70.33
25/05/2013 12:00;49.56;0.49;1.0;70.33
25/05/2013 12:30;49.56;0.49;1.0;70.33
25/05/2013 13:00;49.56;0.55;1.0;70.33
25/05/2013 13:30;49.56;0.55;1.0;70.33
25/05/2013 14:00;49.56;0.73;1.0;70.33
25/05/2013 14:30;49.56;0.73;1.0;70.33
25/05/2013 15:00;49.56;1.02;1.0;70.33
25/05/2013 15:30;49.56;1.02;1.0;70.33
25/05/2013 16:00;49.56;1.36;1.0;70.33
25/05/2013 16:30;49.56;1.36;1.0;70.33
25/05/2013 17:00;49.56;1.53;1.0;70.29
25/05/2013 17:30;49.56;1.53;1.0;70.29
25/05/2013 18:00;49.56;1.53;1.0;70.29
25/05/2013 18:30;49.56;1.53;1.0;70.29
25/05/2013 19:00;49.56;1.36;1.0;70.33
25/05/2013 19:30;49.56;1.36;1.0;70.33
25/05/2013 20:00;49.56;1.1;1.0;70.42
25/05/2013 20:30;49.56;1.1;1.0;70.42
25/05/2013 21:00;49.56;0.91;1.0;70.42
25/05/2013 21:30;49.17;0.91;1.0;70.42
25/05/2013 22:00;49.17;0.76;1.0;70.37
25/05/2013 22:30;49.17;0.76;1.0;70.37
25/05/2013 23:00;49.56;0.67;1.0;69.64
25/05/2013 23:30;49.56;0.67;1.0;69.64
