START_TIME;elix;Peak1;constant
02/01/2013 12:00;71.4675;0.8025;1
02/01/2013 12:30;71.4675;0.8025;1
02/01/2013 13:00;71.4675;0.8025;1
02/01/2013 13:30;71.4675;0.8025;1
02/01/2013 14:00;72.9775;1.1375;1
02/01/2013 14:30;72.9775;1.1375;1
02/01/2013 15:00;72.9775;1.1375;1
02/01/2013 15:30;72.9775;1.1375;1
02/01/2013 16:00;78.48;1.4375;1
02/01/2013 16:30;78.48;1.4375;1
02/01/2013 17:00;78.48;1.4375;1
02/01/2013 17:30;78.48;1.4375;1
02/01/2013 18:00;62.96;1.875;1
02/01/2013 18:30;62.96;1.875;1
02/01/2013 19:00;62.96;1.875;1
02/01/2013 19:30;62.96;1.875;1
02/01/2013 20:00;50.875;1;1
02/01/2013 20:30;50.875;1;1
02/01/2013 21:00;50.875;1;1
02/01/2013 21:30;50.875;1;1
02/01/2013 22:00;48.6675;0.4375;1
02/01/2013 22:30;48.6675;0.4375;1
02/01/2013 23:00;48.6675;0.4375;1
02/01/2013 23:30;48.6675;0.4375;1
03/01/2013 00:00;44.02;0.4;1
03/01/2013 00:30;44.02;0.4;1
03/01/2013 01:00;44.02;0.4;1
03/01/2013 01:30;44.02;0.4;1
03/01/2013 02:00;43.0725;0.435;1
03/01/2013 02:30;43.0725;0.435;1
03/01/2013 03:00;43.0725;0.435;1
03/01/2013 03:30;43.0725;0.435;1
03/01/2013 04:00;42.125;0.6025;1
03/01/2013 04:30;42.125;0.6025;1
03/01/2013 05:00;42.125;0.6025;1
03/01/2013 05:30;42.125;0.6025;1
03/01/2013 06:00;59.355;1.625;1
03/01/2013 06:30;59.355;1.625;1
03/01/2013 07:00;59.355;1.625;1
03/01/2013 07:30;59.355;1.625;1
03/01/2013 08:00;68.0275;0.9375;1
03/01/2013 08:30;68.0275;0.9375;1
03/01/2013 09:00;68.0275;0.9375;1
03/01/2013 09:30;68.0275;0.9375;1
03/01/2013 10:00;72.13;0.7175;1
03/01/2013 10:30;72.13;0.7175;1
03/01/2013 11:00;72.13;0.7175;1
03/01/2013 11:30;72.13;0.7175;1
03/01/2013 12:00;72.13;0.8025;1
03/01/2013 12:30;72.13;0.8025;1
03/01/2013 13:00;72.13;0.8025;1
03/01/2013 13:30;72.13;0.8025;1
03/01/2013 14:00;68.0275;1.1375;1
03/01/2013 14:30;68.0275;1.1375;1
03/01/2013 15:00;68.0275;1.1375;1
03/01/2013 15:30;68.0275;1.1375;1
03/01/2013 16:00;87.9925;1.4375;1
03/01/2013 16:30;87.9925;1.4375;1
03/01/2013 17:00;87.9925;1.4375;1
03/01/2013 17:30;87.9925;1.4375;1
03/01/2013 18:00;79.465;1.875;1
03/01/2013 18:30;79.465;1.875;1
03/01/2013 19:00;79.465;1.875;1
03/01/2013 19:30;79.465;1.875;1
03/01/2013 20:00;55.72;1;1
03/01/2013 20:30;55.72;1;1
03/01/2013 21:00;55.72;1;1
03/01/2013 21:30;55.72;1;1
03/01/2013 22:00;53.72;0.4375;1
03/01/2013 22:30;53.72;0.4375;1
03/01/2013 23:00;53.72;0.4375;1
03/01/2013 23:30;53.72;0.4375;1
04/01/2013 00:00;49.59;0.4;1
04/01/2013 00:30;49.59;0.4;1
04/01/2013 01:00;49.59;0.4;1
04/01/2013 01:30;49.59;0.4;1
04/01/2013 02:00;47.8175;0.435;1
04/01/2013 02:30;47.8175;0.435;1
04/01/2013 03:00;47.8175;0.435;1
04/01/2013 03:30;47.8175;0.435;1
04/01/2013 04:00;46.045;0.6025;1
04/01/2013 04:30;46.045;0.6025;1
04/01/2013 05:00;46.045;0.6025;1
04/01/2013 05:30;46.045;0.6025;1
04/01/2013 06:00;46.295;1.625;1
04/01/2013 06:30;46.295;1.625;1
04/01/2013 07:00;46.295;1.625;1
04/01/2013 07:30;46.295;1.625;1
04/01/2013 08:00;79.2525;0.9375;1
04/01/2013 08:30;79.2525;0.9375;1
04/01/2013 09:00;79.2525;0.9375;1
04/01/2013 09:30;79.2525;0.9375;1
04/01/2013 10:00;79.6425;0.7175;1
04/01/2013 10:30;79.6425;0.7175;1
04/01/2013 11:00;79.6425;0.7175;1
04/01/2013 11:30;79.6425;0.7175;1
04/01/2013 12:00;73.41;0.8025;1
04/01/2013 12:30;73.41;0.8025;1
04/01/2013 13:00;73.41;0.8025;1
04/01/2013 13:30;73.41;0.8025;1
04/01/2013 14:00;69.05;1.1375;1
04/01/2013 14:30;69.05;1.1375;1
04/01/2013 15:00;69.05;1.1375;1
04/01/2013 15:30;69.05;1.1375;1
04/01/2013 16:00;83.96;1.4375;1
04/01/2013 16:30;83.96;1.4375;1
04/01/2013 17:00;83.96;1.4375;1
04/01/2013 17:30;83.96;1.4375;1
04/01/2013 18:00;79.9675;1.875;1
04/01/2013 18:30;79.9675;1.875;1
04/01/2013 19:00;79.9675;1.875;1
04/01/2013 19:30;79.9675;1.875;1
04/01/2013 20:00;77.5425;1;1
04/01/2013 20:30;77.5425;1;1
04/01/2013 21:00;77.5425;1;1
04/01/2013 21:30;77.5425;1;1
04/01/2013 22:00;77.775;0.4375;1
04/01/2013 22:30;77.775;0.4375;1
04/01/2013 23:00;77.775;0.4375;1
04/01/2013 23:30;77.775;0.4375;1
05/01/2013 00:00;60.1125;0.4;1
05/01/2013 00:30;60.1125;0.4;1
05/01/2013 01:00;60.1125;0.4;1
05/01/2013 01:30;60.1125;0.4;1
05/01/2013 02:00;49.31;0.435;1
05/01/2013 02:30;49.31;0.435;1
05/01/2013 03:00;49.31;0.435;1
05/01/2013 03:30;49.31;0.435;1
05/01/2013 04:00;49.31;0.6025;1
05/01/2013 04:30;49.31;0.6025;1
05/01/2013 05:00;49.31;0.6025;1
05/01/2013 05:30;49.31;0.6025;1
05/01/2013 06:00;42.0275;1.625;1
05/01/2013 06:30;42.0275;1.625;1
05/01/2013 07:00;42.0275;1.625;1
05/01/2013 07:30;42.0275;1.625;1
05/01/2013 08:00;90.055;0.9375;1
05/01/2013 08:30;90.055;0.9375;1
05/01/2013 09:00;90.055;0.9375;1
05/01/2013 09:30;90.055;0.9375;1
05/01/2013 10:00;171.045;0.7175;1
05/01/2013 10:30;171.045;0.7175;1
05/01/2013 11:00;171.045;0.7175;1
05/01/2013 11:30;171.045;0.7175;1
05/01/2013 12:00;49.56;0.8025;1
05/01/2013 12:30;49.56;0.8025;1
05/01/2013 13:00;49.56;0.8025;1
05/01/2013 13:30;49.56;0.8025;1
05/01/2013 14:00;49.56;1.1375;1
05/01/2013 14:30;49.56;1.1375;1
05/01/2013 15:00;49.56;1.1375;1
05/01/2013 15:30;49.56;1.1375;1
05/01/2013 16:00;49.56;1.4375;1
05/01/2013 16:30;49.56;1.4375;1
05/01/2013 17:00;49.56;1.4375;1
05/01/2013 17:30;49.56;1.4375;1
05/01/2013 18:00;49.56;1.875;1
05/01/2013 18:30;49.56;1.875;1
05/01/2013 19:00;49.56;1.875;1
05/01/2013 19:30;49.56;1.875;1
05/01/2013 20:00;49.4625;1;1
05/01/2013 20:30;49.4625;1;1
05/01/2013 21:00;49.4625;1;1
05/01/2013 21:30;49.4625;1;1
05/01/2013 22:00;49.365;0.4375;1
05/01/2013 22:30;49.365;0.4375;1
05/01/2013 23:00;49.365;0.4375;1
05/01/2013 23:30;49.365;0.4375;1
06/01/2013 00:00;;;
